class_name,class_id,per_class_acc,num_samples
Acanthodesmia_micropora,0,100.0,12
Actinomma_leptoderma_boreale,1,92.85714285714286,14
Antarctissa_denticulata-cyrindrica,2,97.61904761904762,42
Antarctissa_juvenile,3,100.0,114
Antarctissa_longa-strelkovi,4,93.75,48
Botryocampe_antarctica,5,95.0,40
Botryocampe_inflatum-conithorax,6,62.5,8
Ceratocyrtis_historicosus,7,100.0,10
Cycladophora_bicornis,8,96.07843137254902,51
Cycladophora_cornutoides,9,94.44444444444444,36
Cycladophora_davisiana,10,96.8408262454435,1646
Diatoms,11,98.48812095032397,1852
Druppatractus_irregularis-bensoni,12,96.15384615384616,52
Eucyrtidium_spp,13,83.33333333333334,6
Fragments,14,94.82034531031265,4286
Larcoids_inner,15,73.52941176470588,34
Lithocampe_furcaspiculata,16,84.61538461538461,26
Lithocampe_platycephala,17,60.0,15
Lithomelissa_setosa-borealis,18,91.22807017543859,57
Lophophana_spp,19,65.85365853658537,41
Other_Nassellaria,20,50.0,32
Other_Spumellaria,21,53.333333333333336,15
Phormospyris_stabilis_antarctica,22,100.0,26
Phortycium_clevei-pylonium,23,97.43589743589743,39
Plectacantha_oikiskos,24,84.61538461538461,26
Pseudodictyophimus_gracilipes,25,96.42857142857143,28
Sethoconus_tablatus,26,80.0,5
Siphocampe_arachnea_group,27,100.0,6
Spongodiscus,28,97.87234042553192,188
Spongurus_pylomaticus,29,100.0,17
Sylodictya_spp,30,100.0,69
Zygocircus,31,96.96969696969697,33
Class-Averaged,-1,88.55522773709293,8874
Overall Top-1,-1,95.58260085643452,8874
